#Bin     	state   	CS(bin)
chr3_1672	Telomere	23.729
chr5_3074	Telomere	22.9842
chr2_1015	Telomere	1.89157
chr4_2454	Telomere	4.26239
chr1_0   	Telomere	22.3684
chr5_3075	Telomere	14.8174
chr3_1673	Telomere	15.318
chr2_1016	Telomere	1.84545
chr4_2455	Telomere	4.29925
chr5_3076	Telomere	12.1211
chr2_1017	Telomere	2.7293
chr3_1674	Telomere	10.8822
chr4_2456	Telomere	4.13671
chr2_1018	Telomere	2.98801
chr3_1675	Telomere	8.263
chr5_3077	Telomere	8.95623
chr4_2457	Telomere	4.14793
chr1_1   	Telomere	16.0261
chr2_1019	Telomere	2.61544
chr5_3078	Telomere	7.14233
chr3_1676	Telomere	7.46587
chr4_2458	Telomere	3.93709
chr2_1020	Active  	1.11725
chr4_2459	Active  	1.07063
chr3_1677	Active  	1.1061
chr5_3079	Active  	1.11679
chr1_2   	Telomere	11.3414
chr2_1021	Active  	1.11654
chr4_2460	Active  	1.08052
chr3_1678	Active  	1.12798
chr5_3080	Active  	1.13963
chr3_1679	Active  	1.13775
chr4_2461	Active  	1.07504
chr5_3081	Active  	1.15087
chr2_1022	Active  	1.12076
chr4_2462	Active  	1.0922
chr3_1680	Active  	1.1455
chr2_1023	Active  	1.1167
chr5_3082	Active  	1.13893
chr1_3   	Telomere	9.07684
chr4_2463	Active  	1.11134
chr3_1681	Active  	1.1444
chr5_3083	Active  	1.14806
chr2_1024	Active  	1.13063
chr4_2464	Active  	1.11395
chr3_1682	Active  	1.143
chr5_3084	Active  	1.15708
chr2_1025	Active  	1.12805
chr4_2465	Active  	1.10781
chr3_1683	Active  	1.1466
chr2_1026	Polycomb_like	0.887012
chr5_3085	Active  	1.15089
chr1_4   	Telomere	6.82507
chr4_2466	Polycomb_like	0.846878
chr2_1027	Active  	1.10741
chr3_1684	Active  	1.15908
chr5_3086	Active  	1.15665
chr4_2467	Active  	1.08461
chr2_1028	Active  	1.07442
chr5_3087	Active  	1.14388
chr3_1685	Active  	1.1547
chr1_5   	Active  	1.13023
chr4_2468	Active  	1.12547
chr2_1029	Active  	1.08739
chr5_3088	Active  	1.16343
chr3_1686	Active  	1.1449
chr4_2469	Active  	1.14753
chr3_1687	Active  	1.1447
chr5_3089	Active  	1.15474
chr2_1030	Active  	1.08516
chr4_2470	Active  	1.12522
chr3_1688	Active  	1.16303
chr5_3090	Polycomb_like	0.720702
chr2_1031	Active  	1.09861
chr1_6   	Active  	1.14363
chr4_2471	Active  	1.12456
chr3_1689	Active  	1.16506
chr5_3091	Active  	1.14265
chr2_1032	Active  	1.05704
chr4_2472	Active  	1.11429
chr3_1690	Active  	1.15662
chr5_3092	Active  	1.15909
chr2_1033	Active  	1.02342
chr4_2473	not-assigned	0.982888
chr3_1691	Active  	1.16878
chr5_3093	Active  	1.14886
chr1_7   	Active  	1.14687
chr2_1034	not-assigned	1.10885
chr4_2474	Polycomb_like	1.09322
chr3_1692	Active  	1.15862
chr5_3094	Active  	1.15864
chr2_1035	Active  	0.988195
chr4_2475	Polycomb_like	1.08361
chr3_1693	Active  	1.15253
chr5_3095	Active  	1.16559
chr2_1036	Active  	1.07775
chr1_8   	Active  	1.14314
chr4_2476	Active  	1.07966
chr3_1694	Active  	1.14955
chr5_3096	Active  	1.13761
chr2_1037	Active  	1.01277
chr4_2477	Active  	1.10041
chr5_3097	Active  	1.14717
chr3_1695	Undetermined	0.918447
chr2_1038	Active  	1.03205
chr4_2478	Active  	1.11183
chr5_3098	Active  	1.15651
chr3_1696	Active  	1.15656
chr2_1039	Polycomb_like	1.34431
chr1_9   	Active  	1.15022
chr4_2479	Active  	1.0833
chr5_3099	Active  	1.1654
chr3_1697	Undetermined	0.945901
chr2_1040	Active  	1.05314
chr4_2480	Active  	1.09867
chr3_1698	Active  	1.14228
chr5_3100	Active  	1.15495
chr1_10  	Active  	1.16459
chr2_1041	Active  	1.08812
chr4_2481	Active  	1.07883
chr3_1699	Active  	1.14921
chr5_3101	Active  	1.15801
chr2_1042	not-assigned	0.983297
chr1_11  	Active  	1.15522
chr4_2482	not-assigned	0.95747
chr3_1700	Active  	1.1431
chr5_3102	Active  	1.15763
chr2_1043	Active  	1.10346
chr4_2483	Active  	1.10515
chr1_12  	not-assigned	0.774738
chr5_3103	Active  	1.14864
chr3_1701	Polycomb_like	0.837726
chr2_1044	Polycomb_like	1.03305
