#Bin     	state   	CS(bin)
chr4_0   	Telomere	0.985953
chr4_1   	Telomere	1.06082
chr4_2   	Telomere	0.990499
chr4_3   	Telomere	1.05709
chr4_4   	Telomere	0.911722
chr4_5   	Active  	1.14133
chr4_6   	Active  	1.12798
chr4_7   	Active  	1.14595
chr4_8   	Active  	1.16466
chr4_9   	Active  	1.17736
chr4_10  	Active  	1.18224
chr4_11  	Active  	1.17961
chr4_12  	Polycomb_like	0.995835
chr4_13  	Active  	1.154
chr4_14  	Active  	1.18591
chr4_15  	Active  	1.20293
chr4_16  	Active  	1.18749
chr4_17  	Active  	1.18847
chr4_18  	Active  	1.176
chr4_19  	not-assigned	0.993982
chr4_20  	Polycomb_like	1.19223
chr4_21  	Polycomb_like	1.08238
chr4_22  	Active  	1.14244
chr4_23  	Active  	1.15749
chr4_24  	Active  	1.17661
chr4_25  	Active  	1.15799
chr4_26  	Active  	1.16362
chr4_27  	Active  	1.14814
chr4_28  	not-assigned	0.960557
chr4_29  	Active  	1.15685
chr4_30  	Active  	1.16011
chr4_31  	Active  	1.1644
chr4_32  	Active  	1.15026
chr4_33  	Polycomb_like	1.14567
chr4_34  	Active  	1.1245
chr4_35  	Active  	1.18209
chr4_36  	Active  	1.17974
chr4_37  	Active  	1.18981
chr4_38  	not-assigned	0.95906
chr4_39  	Active  	1.10336
chr4_40  	Active  	1.13195
chr4_41  	Active  	1.11318
chr4_42  	Active  	1.1349
chr4_43  	Active  	1.15504
chr4_44  	Active  	1.15506
chr4_45  	Active  	1.142
chr4_46  	Active  	1.15871
chr4_47  	Active  	1.15685
chr4_48  	Heterochromatin	0.694999
chr4_49  	Active  	1.12298
chr4_50  	Active  	1.12331
chr4_51  	Polycomb_like	0.884148
chr4_52  	Active  	0.983522
chr4_53  	Heterochromatin	1.80764
chr4_54  	Heterochromatin	2.60457
chr4_55  	Heterochromatin	2.39119
chr4_56  	Heterochromatin	2.57924
chr4_57  	Heterochromatin	2.64857
chr4_58  	Heterochromatin	2.22428
chr4_59  	not-assigned	0.864485
chr4_60  	Heterochromatin	2.28902
chr4_61  	Heterochromatin	2.21574
chr4_62  	Active  	0.879569
chr4_63  	Heterochromatin	1.96085
chr4_64  	Heterochromatin	1.44511
chr4_65  	Heterochromatin	1.53149
chr4_66  	Heterochromatin	1.60433
chr4_67  	Active  	0.924601
chr4_68  	Heterochromatin	1.84572
chr4_69  	Heterochromatin	1.89397
chr4_70  	Active  	0.940496
chr4_71  	Heterochromatin	1.55232
chr4_72  	Heterochromatin	1.84688
chr4_73  	Heterochromatin	1.81929
chr4_74  	Polycomb_like	1.20861
chr4_75  	Heterochromatin	1.31317
chr4_76  	Heterochromatin	1.16549
chr4_77  	Active  	1.00173
chr4_78  	Heterochromatin	0.832857
chr4_79  	Active  	1.07525
chr4_80  	Active  	1.11206
chr4_81  	Active  	1.14172
chr4_82  	Active  	1.15518
chr4_83  	Active  	1.13564
chr4_84  	Active  	1.08087
chr4_85  	Active  	1.09462
chr4_86  	Active  	1.09403
chr4_87  	Active  	1.04375
chr4_88  	Active  	1.04191
chr4_89  	not-assigned	1.10792
chr4_90  	Heterochromatin	0.7502
chr4_91  	Active  	1.02793
chr4_92  	Polycomb_like	0.902154
chr4_93  	Active  	0.805618
chr4_94  	Heterochromatin	2.58839
chr4_95  	Heterochromatin	2.74828
chr4_96  	Heterochromatin	2.61894
chr4_97  	Heterochromatin	
chr4_98  	Heterochromatin	
chr4_99  	Heterochromatin	2.0646
chr4_100 	Heterochromatin	2.43896
chr4_101 	Heterochromatin	2.17234
chr4_102 	Heterochromatin	2.55024
chr4_103 	Heterochromatin	2.68032
chr4_104 	Heterochromatin	2.67081
chr4_105 	Heterochromatin	2.94442
chr4_106 	Heterochromatin	
chr4_107 	Heterochromatin	
chr4_108 	Heterochromatin	2.96589
chr4_109 	Heterochromatin	2.86867
chr4_110 	Heterochromatin	2.72608
