cluster_100 chr4:8685000-8841000
cluster_101 chr4:8889000-8976000
cluster_102 chr4:9015000-9093000
cluster_103 chr4:9813000-9888000
cluster_104 chr4:10089000-10158000
cluster_105 chr4:10239000-10311000
cluster_106 chr4:10695000-10797000
cluster_107 chr4:10764000-10836000
cluster_108 chr4:11184000-11268000
cluster_109 chr4:11610000-11682000
cluster_10 chr1:10860000-10932000
cluster_110 chr4:11640000-11748000
cluster_111 chr4:11793000-11871000
cluster_112 chr4:12165000-12246000
cluster_113 chr4:13575000-13641000
cluster_114 chr4:13929000-13998000
cluster_115 chr4:14049000-14121000
cluster_116 chr4:14484000-14556000
cluster_117 chr4:16695000-16773000
cluster_118 chr4:16779000-16863000
cluster_119 chr4:16890000-16956000
cluster_11 chr1:10968000-11073000
cluster_120 chr4:17805000-17886000
cluster_121 chr4:18135000-18207000
cluster_122 chr4:18405000-18483000
cluster_123 chr5:969000-1047000
cluster_124 chr5:1185000-1266000
cluster_125 chr5:2148000-2226000
cluster_126 chr5:2343000-2421000
cluster_127 chr5:2913000-2982000
cluster_128 chr5:4869000-4953000
cluster_129 chr5:5589000-5658000
cluster_12 chr1:11304000-11388000
cluster_130 chr5:5910000-5988000
cluster_131 chr5:7308000-7386000
cluster_132 chr5:8094000-8166000
cluster_133 chr5:8970000-9051000
cluster_134 chr5:9024000-9117000
cluster_135 chr5:9069000-9147000
cluster_136 chr5:9198000-9276000
cluster_137 chr5:10104000-10221000
cluster_138 chr5:15075000-15207000
cluster_139 chr5:15489000-15573000
cluster_13 chr1:11949000-12033000
cluster_140 chr5:15618000-15696000
cluster_141 chr5:15693000-15771000
cluster_142 chr5:15945000-16023000
cluster_143 chr5:16479000-16563000
cluster_144 chr5:17358000-17448000
cluster_145 chr5:18114000-18192000
cluster_146 chr5:18570000-18642000
cluster_147 chr5:18990000-19071000
cluster_148 chr5:19395000-19491000
cluster_149 chr5:19929000-20001000
cluster_14 chr1:12183000-12267000
cluster_150 chr5:20523000-20592000
cluster_151 chr5:20874000-20946000
cluster_152 chr5:21000000-21081000
cluster_153 chr5:21150000-21228000
cluster_154 chr5:21330000-21411000
cluster_155 chr5:22029000-22107000
cluster_156 chr5:22668000-22743000
cluster_157 chr5:22800000-22881000
cluster_158 chr5:23889000-23967000
cluster_159 chr5:24540000-24618000
cluster_15 chr1:12270000-12351000
cluster_160 chr5:24735000-24801000
cluster_161 chr5:24753000-24843000
cluster_162 chr5:25419000-25491000
cluster_16 chr1:12573000-12666000
cluster_17 chr1:17460000-17538000
cluster_18 chr1:17559000-17631000
cluster_19 chr1:18870000-18942000
cluster_1 chr1:918000-993000
cluster_20 chr1:18954000-19047000
cluster_21 chr1:19044000-19128000
cluster_22 chr1:19209000-19293000
cluster_23 chr1:19320000-19398000
cluster_24 chr1:19350000-19437000
cluster_25 chr1:19584000-19662000
cluster_26 chr1:20118000-20193000
cluster_27 chr1:20424000-20493000
cluster_28 chr1:20643000-20733000
cluster_29 chr1:21573000-21651000
cluster_2 chr1:1899000-1971000
cluster_30 chr1:21960000-22038000
cluster_31 chr1:22194000-22293000
cluster_32 chr1:22479000-22563000
cluster_33 chr1:23115000-23202000
cluster_34 chr1:24240000-24318000
cluster_35 chr1:24420000-24498000
cluster_36 chr1:24459000-24543000
cluster_37 chr1:24528000-24612000
cluster_38 chr1:24663000-24756000
cluster_39 chr1:24720000-24798000
cluster_3 chr1:2514000-2592000
cluster_40 chr1:24873000-24957000
cluster_41 chr1:25629000-25716000
cluster_42 chr1:25938000-26046000
cluster_43 chr1:26673000-26757000
cluster_44 chr1:28455000-28542000
cluster_45 chr1:28560000-28638000
cluster_46 chr2:678000-783000
cluster_47 chr2:924000-993000
cluster_48 chr2:1089000-1173000
cluster_49 chr2:1935000-2046000
cluster_4 chr1:4095000-4173000
cluster_50 chr2:7329000-7416000
cluster_51 chr2:7380000-7461000
cluster_52 chr2:7815000-7887000
cluster_53 chr2:9300000-9378000
cluster_54 chr2:10473000-10563000
cluster_55 chr2:12399000-12498000
cluster_56 chr2:12459000-12558000
cluster_57 chr2:12690000-12762000
cluster_58 chr2:13020000-13107000
cluster_59 chr2:13203000-13281000
cluster_5 chr1:5118000-5193000
cluster_60 chr2:15123000-15198000
cluster_61 chr2:16209000-16281000
cluster_62 chr2:18354000-18426000
cluster_63 chr2:19173000-19251000
cluster_64 chr2:19470000-19542000
cluster_65 chr3:39000-111000
cluster_66 chr3:2463000-2538000
cluster_67 chr3:3018000-3087000
cluster_68 chr3:3273000-3348000
cluster_69 chr3:3915000-3987000
cluster_6 chr1:8319000-8397000
cluster_70 chr3:4830000-4908000
cluster_71 chr3:5520000-5613000
cluster_72 chr3:5643000-5718000
cluster_73 chr3:5970000-6042000
cluster_74 chr3:7659000-7731000
cluster_75 chr3:7704000-7782000
cluster_76 chr3:7728000-7803000
cluster_77 chr3:8190000-8283000
cluster_78 chr3:9135000-9207000
cluster_79 chr3:9165000-9237000
cluster_7 chr1:9093000-9171000
cluster_80 chr3:10500000-10572000
cluster_81 chr3:16500000-16566000
cluster_82 chr3:16638000-16713000
cluster_83 chr3:16668000-16761000
cluster_84 chr3:16953000-17037000
cluster_85 chr3:16989000-17088000
cluster_86 chr3:17334000-17421000
cluster_87 chr3:17568000-17652000
cluster_88 chr3:18303000-18372000
cluster_89 chr3:18555000-18636000
cluster_8 chr1:9243000-9312000
cluster_90 chr3:18813000-18888000
cluster_91 chr3:19494000-19566000
cluster_92 chr3:21549000-21627000
cluster_93 chr3:22404000-22476000
cluster_94 chr4:549000-651000
cluster_95 chr4:6549000-6627000
cluster_96 chr4:7290000-7362000
cluster_97 chr4:7368000-7443000
cluster_98 chr4:7674000-7752000
cluster_99 chr4:7698000-7788000
cluster_9 chr1:10125000-10203000
